Query_number,Document_number
1,368279
1,129018
1,131110
1,288074
1,392312
1,356399
1,352504
1,316328
1,379608
1,186376
2,12807
2,195084
2,406264
2,389103
2,183715
2,173366
2,231539
2,249151
2,462491
2,428907
3,412243
3,22348
3,7934
3,240492
3,5024
3,253160
3,446120
3,393818
3,412208
3,469085
4,215320
4,217008
4,286212
4,147717
4,252106
4,422050
4,90548
4,318292
4,207232
4,462560
5,213425
5,279740
5,269188
5,122303
5,250401
5,139019
5,323173
5,59482
5,481987
5,429555
6,82131
6,389393
6,77104
6,85102
6,342088
6,372078
6,294577
6,248947
6,153297
6,117436
7,427821
7,369099
7,229311
7,108290
7,82172
7,253898
7,444818
7,72994
7,68669
7,494634
8,14705
8,109001
8,403438
8,401711
8,102418
8,362404
8,323435
8,415854
8,334887
8,95204
9,95059
9,102770
9,382221
9,325779
9,357689
9,62523
9,359521
9,475672
9,99688
9,255713
10,89072
10,297761
10,67533
10,294810
10,205076
10,169545
10,298045
10,57535
10,248499
10,340512
11,431779
11,209639
11,354454
11,139959
11,427902
11,275918
11,68442
11,17238
11,155218
11,34609
12,267626
12,3976
12,377382
12,37938
12,374493
12,455947
12,166826
12,479977
12,459238
12,133464
13,79603
13,164486
13,481938
13,163563
13,148453
13,184607
13,5647
13,54200
13,287137
13,38966
14,426510
14,482219
14,98162
14,99851
14,463695
14,448411
14,212878
14,382421
14,396779
14,382539
15,14387
15,442250
15,346231
15,449456
15,53396
15,107973
15,284662
15,206700
15,331793
15,184067
16,310790
16,72839
16,163203
16,183056
16,155123
16,385314
16,407968
16,156798
16,196902
16,72268
17,419231
17,429186
17,107586
17,80311
17,488744
17,76700
17,46101
17,490318
17,94406
17,362324
18,19726
18,426872
18,96953
18,179059
18,13449
18,273288
18,223887
18,350565
18,254359
18,289586
19,50831
19,342368
19,5887
19,85086
19,451744
19,420615
19,299687
19,465360
19,468538
19,128749
20,347649
20,446893
20,455257
20,89450
20,439506
20,197720
20,434669
20,200927
20,362713
20,116027
21,389777
21,229100
21,250951
21,438632
21,325730
21,218008
21,367532
21,52407
21,73600
21,49082
22,26765
22,278511
22,276065
22,132077
22,211280
22,462429
